x,y,z,t,u_true,u_pred
7.109375000000000000e-01,7.109375000000000000e-01,6.328125000000000000e-01,0.000000000000000000e+00,9.210860729217529297e-01,3.312120679765939713e-04
9.609375000000000000e-01,4.609375000000000000e-01,8.828125000000000000e-01,0.000000000000000000e+00,7.088217139244079590e-02,2.070102491416037083e-04
4.609375000000000000e-01,9.609375000000000000e-01,3.828125000000000000e-01,0.000000000000000000e+00,1.837551146745681763e-01,4.343536566011607647e-04
3.359375000000000000e-01,3.359375000000000000e-01,5.078125000000000000e-01,0.000000000000000000e+00,1.226915955543518066e+00,2.337734331376850605e-04
8.359375000000000000e-01,8.359375000000000000e-01,7.812500000000000000e-03,0.000000000000000000e+00,9.665647521615028381e-03,-9.273382602259516716e-05
5.859375000000000000e-01,8.593750000000000000e-02,2.578125000000000000e-01,0.000000000000000000e+00,3.018054068088531494e-01,2.370649599470198154e-04
8.593750000000000000e-02,5.859375000000000000e-01,7.578125000000000000e-01,0.000000000000000000e+00,2.873425781726837158e-01,1.291086082346737385e-04
1.171875000000000000e-01,1.171875000000000000e-01,6.640625000000000000e-01,0.000000000000000000e+00,1.826983690261840820e-01,1.068346318788826466e-04
6.171875000000000000e-01,6.171875000000000000e-01,1.640625000000000000e-01,0.000000000000000000e+00,6.955592036247253418e-01,7.919903146103024483e-05
8.671875000000000000e-01,3.671875000000000000e-01,4.140625000000000000e-01,0.000000000000000000e+00,5.788364410400390625e-01,8.800887735560536385e-05
3.671875000000000000e-01,8.671875000000000000e-01,9.140625000000000000e-01,0.000000000000000000e+00,1.601855754852294922e-01,-3.656669287011027336e-05
4.921875000000000000e-01,4.921875000000000000e-01,3.906250000000000000e-02,0.000000000000000000e+00,1.983251869678497314e-01,3.558791358955204487e-04
9.921875000000000000e-01,9.921875000000000000e-01,5.390625000000000000e-01,0.000000000000000000e+00,9.690222213976085186e-04,1.829777029342949390e-04
7.421875000000000000e-01,2.421875000000000000e-01,7.890625000000000000e-01,0.000000000000000000e+00,4.980871081352233887e-01,4.581990651786327362e-04
2.421875000000000000e-01,7.421875000000000000e-01,2.890625000000000000e-01,0.000000000000000000e+00,6.382397413253784180e-01,3.946729702875018120e-05
1.796875000000000000e-01,3.046875000000000000e-01,9.765625000000000000e-01,0.000000000000000000e+00,5.216424167156219482e-02,2.802854287438094616e-04
6.796875000000000000e-01,8.046875000000000000e-01,4.765625000000000000e-01,0.000000000000000000e+00,7.865044474601745605e-01,2.381613594479858875e-04
9.296875000000000000e-01,5.468750000000000000e-02,2.265625000000000000e-01,0.000000000000000000e+00,3.966360911726951599e-02,8.696719305589795113e-05
4.296875000000000000e-01,5.546875000000000000e-01,7.265625000000000000e-01,0.000000000000000000e+00,1.180080890655517578e+00,2.591445227153599262e-04
3.046875000000000000e-01,1.796875000000000000e-01,3.515625000000000000e-01,0.000000000000000000e+00,6.333816051483154297e-01,1.717482809908688068e-04
8.046875000000000000e-01,6.796875000000000000e-01,8.515625000000000000e-01,0.000000000000000000e+00,3.545820713043212891e-01,3.361686249263584614e-04
