x,y,t,u_true,u_pred
1.000000000000000000e+00,7.187500000000000000e-01,7.089843750000000000e-01,-6.734371993388776900e-08,-8.110078051686286926e-04
1.000000000000000000e+00,2.187500000000000000e-01,1.640625000000000000e-01,-2.968861068097794487e-08,-1.879120245575904846e-04
0.000000000000000000e+00,7.812500000000000000e-01,9.375000000000000000e-01,-0.000000000000000000e+00,5.306256935000419617e-04
7.812500000000000000e-01,1.000000000000000000e+00,8.007812500000000000e-01,2.901405160571357555e-08,-2.326001413166522980e-03
2.187500000000000000e-01,0.000000000000000000e+00,2.578125000000000000e-01,0.000000000000000000e+00,-2.725602127611637115e-03
1.562500000000000000e-01,0.000000000000000000e+00,4.589843750000000000e-01,0.000000000000000000e+00,3.077900968492031097e-03
8.437500000000000000e-01,1.000000000000000000e+00,3.906250000000000000e-01,-3.139336568480644019e-09,-1.924680545926094055e-04
0.000000000000000000e+00,8.437500000000000000e-01,6.464843750000000000e-01,-0.000000000000000000e+00,-1.331065781414508820e-03
1.000000000000000000e+00,1.562500000000000000e-01,2.070312500000000000e-01,4.015709365035036171e-08,3.770085982978343964e-03
1.000000000000000000e+00,6.562500000000000000e-01,4.277343750000000000e-01,-7.618540109888272127e-08,-4.702154546976089478e-05
0.000000000000000000e+00,3.437500000000000000e-01,2.148437500000000000e-02,0.000000000000000000e+00,1.440974231809377670e-02
3.437500000000000000e-01,1.000000000000000000e+00,7.421875000000000000e-01,-9.406911916087778991e-10,2.975489012897014618e-03
6.562500000000000000e-01,0.000000000000000000e+00,9.062500000000000000e-01,-0.000000000000000000e+00,5.219010636210441589e-04
9.062500000000000000e-01,0.000000000000000000e+00,9.257812500000000000e-01,-0.000000000000000000e+00,-5.576657131314277649e-04
9.375000000000000000e-02,1.000000000000000000e+00,8.515625000000000000e-01,-2.514723362878612534e-08,7.051518186926841736e-04
0.000000000000000000e+00,9.375000000000000000e-02,5.859375000000000000e-03,0.000000000000000000e+00,-1.108633447438478470e-02
1.000000000000000000e+00,9.062500000000000000e-01,7.265625000000000000e-01,-1.647251401948324201e-08,-1.111277379095554352e-03
1.000000000000000000e+00,4.062500000000000000e-01,4.609375000000000000e-01,4.896403726917242238e-09,7.759397849440574646e-04
0.000000000000000000e+00,5.937500000000000000e-01,2.382812500000000000e-01,-0.000000000000000000e+00,-2.268834970891475677e-03
