x,t,u_true,u_pred
9.179687500000000000e-01,0.000000000000000000e+00,2.548655867576599121e-01,2.549123466014862061e-01
4.179687500000000000e-01,0.000000000000000000e+00,9.669764637947082520e-01,9.669684767723083496e-01
2.929687500000000000e-01,0.000000000000000000e+00,7.958369255065917969e-01,7.958585023880004883e-01
7.929687500000000000e-01,0.000000000000000000e+00,6.055109500885009766e-01,6.055451631546020508e-01
5.429687500000000000e-01,0.000000000000000000e+00,9.909026026725769043e-01,9.908618330955505371e-01
4.296875000000000000e-02,0.000000000000000000e+00,1.345807164907455444e-01,1.346349269151687622e-01
5.859375000000000000e-02,0.000000000000000000e+00,1.830398887395858765e-01,1.830841004848480225e-01
5.585937500000000000e-01,0.000000000000000000e+00,9.831054806709289551e-01,9.830664396286010742e-01
1.923076994717121124e-02,1.000000000000000000e+00,1.165081979706883430e-03,2.209200523793697357e-03
3.846153989434242249e-02,1.000000000000000000e+00,2.325912704691290855e-03,3.264010883867740631e-03
5.769230797886848450e-02,1.000000000000000000e+00,3.478256287053227425e-03,4.319134168326854706e-03
7.692307978868484497e-02,1.000000000000000000e+00,4.617908503860235214e-03,5.368997342884540558e-03
9.615384787321090698e-02,1.000000000000000000e+00,5.740709602832794189e-03,6.409094668924808502e-03
1.153846159577369690e-01,1.000000000000000000e+00,6.842564325779676437e-03,7.434721104800701141e-03
1.346153914928436279e-01,1.000000000000000000e+00,7.919451221823692322e-03,8.440709672868251801e-03
1.538461595773696899e-01,1.000000000000000000e+00,8.967440575361251831e-03,9.423173032701015472e-03
1.730769276618957520e-01,1.000000000000000000e+00,9.982708841562271118e-03,1.037802081555128098e-02
1.923076957464218140e-01,1.000000000000000000e+00,1.096155121922492981e-02,1.130113471299409866e-02
2.115384638309478760e-01,1.000000000000000000e+00,1.190039608627557755e-02,1.218882482498884201e-02
2.307692319154739380e-01,1.000000000000000000e+00,1.279581710696220398e-02,1.303733419626951218e-02
2.500000000000000000e-01,1.000000000000000000e+00,1.364454813301563263e-02,1.384314801543951035e-02
2.692307829856872559e-01,1.000000000000000000e+00,1.444349251687526703e-02,1.460313331335783005e-02
2.884615361690521240e-01,1.000000000000000000e+00,1.518973335623741150e-02,1.531460229307413101e-02
3.076923191547393799e-01,1.000000000000000000e+00,1.588054932653903961e-02,1.597359776496887207e-02
3.269230723381042480e-01,1.000000000000000000e+00,1.651341840624809265e-02,1.657841727137565613e-02
3.461538553237915039e-01,1.000000000000000000e+00,1.708603091537952423e-02,1.712673157453536987e-02
3.653846085071563721e-01,1.000000000000000000e+00,1.759629696607589722e-02,1.761563494801521301e-02
3.846153914928436279e-01,1.000000000000000000e+00,1.804235763847827911e-02,1.804300025105476379e-02
4.038461446762084961e-01,1.000000000000000000e+00,1.842258498072624207e-02,1.840763539075851440e-02
4.230769276618957520e-01,1.000000000000000000e+00,1.873558945953845978e-02,1.870771870017051697e-02
4.423076808452606201e-01,1.000000000000000000e+00,1.898023113608360291e-02,1.894213631749153137e-02
4.615384638309478760e-01,1.000000000000000000e+00,1.915561407804489136e-02,1.910956576466560364e-02
4.807692170143127441e-01,1.000000000000000000e+00,1.926110126078128815e-02,1.920922473073005676e-02
5.000000000000000000e-01,1.000000000000000000e+00,1.929630525410175323e-02,1.924112439155578613e-02
5.192307829856872559e-01,1.000000000000000000e+00,1.926110126078128815e-02,1.920443773269653320e-02
5.384615659713745117e-01,1.000000000000000000e+00,1.915561407804489136e-02,1.909920945763587952e-02
5.576922893524169922e-01,1.000000000000000000e+00,1.898023113608360291e-02,1.892625167965888977e-02
5.769230723381042480e-01,1.000000000000000000e+00,1.873558945953845978e-02,1.868570223450660706e-02
5.961538553237915039e-01,1.000000000000000000e+00,1.842258498072624207e-02,1.837892085313796997e-02
6.153846383094787598e-01,1.000000000000000000e+00,1.804235763847827911e-02,1.800682395696640015e-02
6.346153616905212402e-01,1.000000000000000000e+00,1.759629882872104645e-02,1.757098734378814697e-02
6.538461446762084961e-01,1.000000000000000000e+00,1.708602905273437500e-02,1.707298681139945984e-02
6.730769276618957520e-01,1.000000000000000000e+00,1.651341468095779419e-02,1.651468500494956970e-02
6.923077106475830078e-01,1.000000000000000000e+00,1.588054560124874115e-02,1.589896529912948608e-02
7.115384340286254883e-01,1.000000000000000000e+00,1.518973335623741150e-02,1.522785145789384842e-02
7.307692170143127441e-01,1.000000000000000000e+00,1.444349158555269241e-02,1.450362149626016617e-02
